                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81768,                 3.1276,                 1.0656,                0.25497,                0.43644,                0.23496,                0.19178,                0.74207,                 1.9998,                0.97479,             0.00017454,             0.00017454,             0.00017454
                      2,                0.73514,                 2.1643,                 1.0091,                 0.3084,                0.48734,                0.29648,                0.24294,                0.72798,                 1.7587,                0.92975,             0.00033255,             0.00033255,             0.00033255
                      3,                0.72374,                 1.9151,                0.99736,                0.46065,                0.49242,                0.45865,                0.37847,                0.76558,                 1.5183,                0.97057,             0.00047321,             0.00047321,             0.00047321
                      4,                0.70158,                 1.7038,                  0.983,                0.60332,                0.56659,                0.57071,                0.47542,                0.68171,                 1.2502,                0.92163,             0.00044789,             0.00044789,             0.00044789
                      5,                0.68135,                  1.486,                0.97381,                0.66523,                0.66254,                0.68276,                0.58239,                0.68097,                 1.0837,                0.91957,             0.00042185,             0.00042185,             0.00042185
                      6,                0.66161,                 1.3355,                0.96896,                0.72194,                0.70759,                0.74453,                   0.63,                0.65188,                0.87865,                 0.9063,             0.00039581,             0.00039581,             0.00039581
                      7,                0.64398,                 1.2303,                0.95934,                0.73081,                0.74238,                0.77058,                0.64883,                0.66298,                0.81349,                0.90524,             0.00036978,             0.00036978,             0.00036978
                      8,                0.63278,                 1.1377,                0.96172,                0.79482,                0.75605,                0.79829,                0.68137,                0.63931,                 0.7079,                0.89404,             0.00034374,             0.00034374,             0.00034374
                      9,                0.62811,                 1.0798,                0.95188,                 0.8274,                0.78033,                0.82846,                0.70062,                0.63625,                0.65507,                0.88844,              0.0003177,              0.0003177,              0.0003177
                     10,                0.61345,                 1.0227,                0.94241,                0.86168,                 0.7813,                0.84557,                0.72734,                0.62004,                0.61884,                0.89033,             0.00029167,             0.00029167,             0.00029167
                     11,                0.58881,                0.78398,                0.89277,                 0.8747,                 0.7625,                0.84271,                0.71518,                0.61721,                 0.6118,                0.88867,             0.00026563,             0.00026563,             0.00026563
                     12,                0.57216,                0.69159,                0.88827,                0.92779,                0.76407,                0.86824,                 0.7379,                0.62947,                0.57646,                0.89235,             0.00023959,             0.00023959,             0.00023959
                     13,                0.56036,                0.67336,                0.87972,                0.91138,                0.77596,                0.87094,                 0.7443,                0.60123,                0.54862,                0.88397,             0.00021356,             0.00021356,             0.00021356
                     14,                0.54743,                0.61584,                0.87355,                0.90546,                0.82038,                0.88455,                0.76174,                0.58656,                0.49537,                0.87518,             0.00018752,             0.00018752,             0.00018752
                     15,                0.54874,                0.57091,                 0.8765,                0.91572,                0.82798,                0.89069,                0.76177,                0.59406,                0.46068,                 0.8765,             0.00016148,             0.00016148,             0.00016148
                     16,                 0.5297,                0.52686,                0.86689,                0.90043,                0.84324,                0.89847,                0.77162,                0.58236,                0.44158,                0.87197,             0.00013544,             0.00013544,             0.00013544
                     17,                0.51954,                0.50187,                0.86802,                0.94385,                0.82429,                0.90444,                0.78003,                0.57992,                0.43654,                0.87333,             0.00010941,             0.00010941,             0.00010941
                     18,                0.50707,                0.48105,                0.86163,                0.95272,                0.82391,                0.90495,                 0.7817,                0.57219,                0.40526,                 0.8675,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                0.50312,                0.47087,                0.86112,                0.90032,                 0.8664,                0.90724,                0.78475,                0.56014,                0.39649,                0.86153,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                0.49282,                0.44332,                0.86197,                0.92199,                0.85738,                0.91248,                0.79385,                0.55913,                0.38243,                0.86212,             3.1297e-05,             3.1297e-05,             3.1297e-05
